    "DIA_Markus_Hello_15_00": "Кто ты?",
    "SVM_1_RunCoward": "Я ещё доберусь до тебя!",
    "SVM_1_SheepAttackerDown": "Держи свои руки подальше от наших овец!",
    "SVM_1_SheepKiller": "Эй! Оставь наших овец в покое!",
    "SVM_1_SHEEPKILLER_CRIME": "Забивать овец – это слишком! Проваливай!",
    "SVM_1_SheepKillerMonster": "Это чудовище пожирает наших овец!",
    "SVM_1_ShitNoGold": "Неудачник, у тебя даже золота нет!",
    "SVM_1_Smalltalk01": "...это действительно правда...",
    "SVM_1_Smalltalk02": "...мне говорили совсем другое...",
    "SVM_1_Smalltalk03": "...не говори, что ничего об этом не знаешь...",
    "SVM_1_Smalltalk04": "...тебе неизвестно, кому можно доверять...",
    "SVM_1_Smalltalk05": "...это всего лишь сплетни...",
    "SVM_1_Smalltalk06": "...думаешь, у меня лучше...",
    "SVM_1_Smalltalk07": "...меня уже ничего не удивляет...",
    "SVM_1_Smalltalk08": "...это точно не моя проблема...",
    "SVM_1_Smalltalk09": "...ты правда в это веришь...",
    "SVM_1_Smalltalk10": "...никто ничему у меня не учится...",
    "SVM_1_Smalltalk11": "...это было очевидно...",
    "SVM_1_Smalltalk12": "...он слушал не тех людей...",
    "SVM_1_Smalltalk13": "...если он этого не видит, то я не могу помочь ему против его воли...",
    "SVM_1_Smalltalk14": "...я не говорю тебе ничего нового...",
    "SVM_1_Smalltalk15": "...сам бы он до этого не додумался...",
    "SVM_1_Smalltalk16": "...это было уже давно известно...",
    "SVM_1_Smalltalk17": "...плохо дело...",
    "SVM_1_Smalltalk18": "...иначе, я бы так и поступил...",
    "SVM_1_Smalltalk19": "...я полностью с тобой согласен...",
    "SVM_1_Smalltalk20": "...что-нибудь изменится в конце концов...",
    "SVM_1_Smalltalk21": "...я ничего не слышал об этом...",
    "SVM_1_Smalltalk22": "...я уже ничего не могу поделать...",
    "SVM_1_Smalltalk23": "...это меня вообще не удивляет...",
    "SVM_1_Smalltalk24": "...нет, но он, конечно, всё лучше знает...",
    "SVM_1_Smalltalk25": "...всё равно важна только сила, поэтому не говори так...",
    "SVM_1_Smalltalk26": "...он даже не знает, как держать меч...",
    "SVM_1_Smalltalk27": "...да, он действительно так сказал...",
    "SVM_1_Smalltalk28": "...кто-то должен за это заплатить...",
    "SVM_1_Smalltalk29": "...Аданос освещает путь каждому, кто способен познать его мудрость...",
    "SVM_1_Smalltalk30": "...в конце концов справедливость восторжествует...",
    "SVM_1_Smalltalk31": "...может обсудить это за кружкой пива?",
    "SVM_1_Smalltalk32": "...это очень правдоподобно...",
    "SVM_1_Smalltalk33": "...как же спокойно...",
    "SVM_1_Smalltalk34": "...всем сейчас нелегко...",
    "SVM_1_Smalltalk35": "...как ты с этим справляешься?",
    "SVM_1_SpareMe": "Просто оставь меня в покое!",
    "SVM_1_SQ202_Farmer_AboutRasco": "Поговори с Раско, наверняка он будет заинтересован в покупке всего твоего товара.",
    "SVM_1_SQ202_Farmer_TakeJoint_V1": "Как раз то, что мне нужно, спасибо.",
    "SVM_1_SQ202_Farmer_TakeJoint_V2": "Приятно иметь с тобой дело.",
    "SVM_1_SQ202_Farmer_TakeJoint_V3": "Вы, чужеземцы, всё-таки не так уж бесполезны.",
    "SVM_1_SQ202_Farmer_TakeJoint_V4": "Работа никуда не денется, это факт, пожалуй, сделаю перерыв.",
    "SVM_1_SQ311_MilitiaMiner_LeaveMeV1": "На работе нет времени на разговоры.",
    "SVM_1_SQ311_MilitiaMiner_LeaveMeV2": "Уходи, ты мне мешаешь.",
    "SVM_1_SQ311_MilitiaMiner_LeaveMeV3": "Стражники накажут меня, если я буду разговаривать вместо того, чтобы работать.",
    "SVM_1_SQ311_MilitiaMiner_LeaveMeV4": "Я тебя не знаю. Оставь меня в покое.",
    "SVM_1_SQ416_GOODJOB_01": "Ужасное чудовище! Хорошо, что вопрос решён.",
    "SVM_1_SQ416_GOODJOB_02": "Наконец-то мы в безопасности.",
    "SVM_1_SQ416_GOODJOB_03": "Охотники, однако, знают своё дело.",
    "SVM_1_StopMagic": "Перестань колдовать!",
    "SVM_1_StupidBeastKilled": "Тупое животное!",
    "SVM_1_SURE_V1": "Конечно, почему нет.",
    "SVM_1_SURE_V2": "Разумеется.",
    "SVM_1_SURE_V3": "Да, конечно.",
    "SVM_1_THEFT_CRIME": "Проклятый вор! Я презираю таких, как ты!",
    "SVM_1_ThenIBeatYouOutOfHere": "Видимо, придётся по-плохому...",
    "SVM_1_ThereIsNoFightingHere": "Удары здесь наношу только я, понятно?",
    "SVM_1_TheresAFight": "Ах, драка...",
    "SVM_1_ThiefDown": "Впредь держи свои лапы подальше от моих вещей, понял?!",
    "SVM_1_TOUGHGUY_ATTACKLOST": "Вот это удар... Что тебе от меня нужно?",
    "SVM_1_TOUGHGUY_ATTACKWON": "Есть ещё вопросы?",
    "SVM_1_TOUGHGUY_PLAYERATTACK": "Опять ты!",
    "SVM_1_WeaponDown": "Опусти оружие!",
    "SVM_1_Weather": "Плохая погода...",
    "SVM_1_WhatAreYouDoing": "Осторожно! Ещё раз и я тебе врежу.",
    "SVM_1_WhatDidYouDoInThere": "Что ты там делал, а?!",
    "SVM_1_WhatsThisSupposedToBe": "Эй! Зачем ты крадёшься?",
    "SVM_1_WhatWasThat": "Проклятье, что ЭТО было?!",
    "SVM_1_WhyAreYouInHere": "Что ты там делаешь?",
    "SVM_1_WillYouStopFighting": "Может, хватит?!",
    "SVM_1_WiseMove": "Мудрое решение!",
    "SVM_1_WOLFSLAIR_CRIME": "Креднар призовёт тебя к порядку!",
    "SVM_1_Yes": "Да.",
    "SVM_1_YesGoOutOfHere": "Давай, убирайся отсюда!",
    "SVM_1_YouAskedForIt": "Ты сам напросился.",
    "SVM_1_YouBetterShouldHaveListened": "Пусть это будет для тебя уроком.",
    "SVM_1_YouDareHitMe": "Теперь ты меня разозлил!",
    "SVM_1_YouDisturbedMySlumber": "Зараза, что происходит?",
    "SVM_1_YouLearnedSomething": "Видишь, ты уже лучше меня...",
    "SVM_1_YouMurderer": "Убийца!",
